"class","installment_commitment","residence_since","age","existing_credits","duration","credit_amount","checking_status<0","checking_status>=200","checking_status0<=X<200","checking_statusno checking","credit_historycritical/other existing credit","credit_historydelayed previously","credit_historyexisting paid","credit_historyno credits/all paid","purposedomestic appliance","purposeeducation","purposefurniture/equipment","purposenew car","purposeother","purposeradio/tv","purposerepairs","purposeretraining","purposeused car","savings_status>=1000","savings_status100<=X<500","savings_status500<=X<1000","savings_statusno known savings","employment>=7","employment1<=X<4","employment4<=X<7","employmentunemployed","personal_statusmale div/sep","personal_statusmale mar/wid","personal_statusmale single","other_partiesguarantor","other_partiesnone","property_magnitudelife insurance","property_magnitudeno known property","property_magnitudereal estate","other_payment_plansnone","other_payment_plansstores","housingown","housingrent","jobskilled","jobunemp/unskilled non res","jobunskilled resident","own_telephoneyes","foreign_workeryes"
1,-0.869748133587142,-1.67162280077192,0.589438940988184,-0.714620600264712,-0.782560694434573,-0.21676751950555,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
0,-0.869748133587142,-0.765594182467357,-0.491026543141994,1.05424227167764,1.47835861054072,0.641887918115173,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1
0,0.918017814176768,1.04646305414177,-0.310948962453631,1.05424227167764,-0.21733086819075,-0.735709969824783,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1
1,0.918017814176768,1.04646305414177,-1.21133686589545,-0.714620600264712,-1.06517560755648,-1.26882617869899,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
1,0.918017814176768,1.04646305414177,0.589438940988184,1.05424227167764,-0.782560694434573,-1.156350546295,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1
1,-1.7636311074691,-0.765594182467357,-0.851181704518719,-0.714620600264712,-1.06517560755648,0.240450498396858,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0
1,0.918017814176768,-0.765594182467357,-0.851181704518719,-0.714620600264712,-1.06517560755648,-0.760399742791513,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
1,-1.7636311074691,1.04646305414177,-1.21133686589545,-0.714620600264712,-0.594150752353299,0.421508833486212,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0.918017814176768,1.04646305414177,-0.310948962453631,1.05424227167764,0.347898958053073,-0.033423094326684,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
1,-0.869748133587142,-0.765594182467357,-0.761142914174538,-0.714620600264712,0.347898958053073,0.442998080327625,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1
1,0.918017814176768,0.140434435837207,-0.491026543141994,-0.714620600264712,1.47835861054072,-0.0864603844033633,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,-1.7636311074691,1.04646305414177,2.57029232856018,-0.714620600264712,-1.06517560755648,0.357041092961973,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1
0,-1.7636311074691,1.04646305414177,-0.851181704518719,-0.714620600264712,-0.21733086819075,0.0287585561080435,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
0,0.0241348402948129,-0.765594182467357,0.409361360299821,-0.714620600264712,-0.499945781312662,0.718700545122777,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
1,-1.7636311074691,-0.765594182467357,-1.03125928520708,1.05424227167764,-1.3477905206784,-0.684501551819713,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
1,-0.869748133587142,0.140434435837207,-0.941220494862901,2.82310514362,0.913128784296897,2.20894552222344,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
0,0.918017814176768,1.04646305414177,-0.130871381765268,-0.714620600264712,1.47835861054072,-0.55282276266382,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1
1,-0.869748133587142,1.04646305414177,-1.12129807555126,-0.714620600264712,-1.3477905206784,-1.09325445982447,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1
0,0.918017814176768,1.04646305414177,-0.941220494862901,-0.714620600264712,0.347898958053073,-0.768172449095854,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
1,-0.869748133587142,0.140434435837207,1.03963289270909,1.05424227167764,-0.782560694434573,-0.957003490489548,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1
0,0.0241348402948129,0.140434435837207,-1.30137565623963,-0.714620600264712,0.630513871174985,-0.219968045630866,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
1,0.918017814176768,1.04646305414177,2.21013716718345,-0.714620600264712,0.347898958053073,-0.508015396909384,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1
0,0.918017814176768,-0.765594182467357,-1.03125928520708,-0.714620600264712,2.04358843678454,1.99205272498098,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1
1,0.0241348402948129,0.140434435837207,-0.851181704518719,-0.714620600264712,-1.3477905206784,-1.12525972107763,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0
1,-0.869748133587142,-1.67162280077192,0.499400150644003,-0.714620600264712,-0.21733086819075,1.51334546023716,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1
1,-0.869748133587142,-0.765594182467357,-0.400987752797812,-0.714620600264712,-0.782560694434573,-0.75034094639766,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1
1,0.918017814176768,0.140434435837207,0.409361360299821,-0.714620600264712,-0.970970636515848,-0.986265443635303,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1
1,-1.7636311074691,1.04646305414177,-1.03125928520708,1.05424227167764,-0.0289209261094755,0.558217020839032,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0.918017814176768,0.140434435837207,-0.400987752797812,-0.714620600264712,-0.499945781312662,-0.694560348213566,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
1,0.918017814176768,1.04646305414177,0.139244989267277,1.05424227167764,0.347898958053073,-0.806578762599656,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1
0,0.918017814176768,1.04646305414177,-1.12129807555126,1.05424227167764,0.347898958053073,-0.735709969824783,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1
0,0.0241348402948129,-1.67162280077192,0.139244989267277,-0.714620600264712,-0.782560694434573,-0.812522596832387,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1
0,-1.7636311074691,-1.67162280077192,-0.310948962453631,-0.714620600264712,-1.3477905206784,-0.969348376972913,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1
1,-0.869748133587142,-1.67162280077192,1.21971047339745,-0.714620600264712,-1.3477905206784,-1.19932903997782,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,1
0,0.0241348402948129,-0.765594182467357,-0.220910172109449,-0.714620600264712,2.04358843678454,0.81974572707921,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1
1,0.0241348402948129,1.04646305414177,1.39978805408582,-0.714620600264712,0.347898958053073,-0.0727438438662911,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,-0.869748133587142,1.04646305414177,0.0492061989230953,-0.714620600264712,-0.782560694434573,-0.689988168034542,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1
1,0.918017814176768,1.04646305414177,-0.0408325914210861,1.05424227167764,-0.499945781312662,-0.722450647305613,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,-0.869748133587142,1.04646305414177,-0.671104123830356,-0.714620600264712,0.347898958053073,-0.204879851040087,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0,-0.869748133587142,-0.765594182467357,-1.21133686589545,-0.714620600264712,-0.21733086819075,-0.269347591564327,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
0,0.918017814176768,1.04646305414177,-1.03125928520708,1.05424227167764,1.47835861054072,2.20894552222344,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1
1,0.918017814176768,1.04646305414177,0.499400150644003,1.05424227167764,-1.06517560755648,-0.82623913736946,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
1,-0.869748133587142,1.04646305414177,0.859555312020729,-0.714620600264712,1.47835861054072,0.35841274701568,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,1,1
0,0.918017814176768,0.140434435837207,2.12009837683927,-0.714620600264712,2.04358843678454,1.5384924512218,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1
1,-0.869748133587142,-0.765594182467357,-0.581065333486175,-0.714620600264712,-1.3477905206784,-0.431202769901779,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
1,-0.869748133587142,1.04646305414177,0.589438940988184,-0.714620600264712,2.04358843678454,2.20894552222344,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,1
1,-0.869748133587142,-0.765594182467357,1.03963289270909,1.05424227167764,-0.499945781312662,-0.793319440080486,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
1,-0.869748133587142,-0.765594182467357,-0.0408325914210861,1.05424227167764,1.47835861054072,1.27604930894581,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1
1,0.918017814176768,-0.765594182467357,1.12967168305327,1.05424227167764,0.347898958053073,-0.598087346436158,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1
1,0.918017814176768,1.04646305414177,-0.581065333486175,-0.714620600264712,0.347898958053073,-0.525846899607578,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1
1,0.0241348402948129,1.04646305414177,-0.0408325914210861,-0.714620600264712,-1.06517560755648,-0.136297148354726,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,1
0,0.918017814176768,1.04646305414177,0.94959410236491,-0.714620600264712,2.04358843678454,0.402305676734311,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1
1,0.918017814176768,1.04646305414177,-1.12129807555126,-0.714620600264712,-0.782560694434573,-0.846356730157166,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1
1,0.918017814176768,0.140434435837207,1.21971047339745,1.05424227167764,-0.970970636515848,-0.920426049057356,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1
1,0.918017814176768,-1.67162280077192,-0.0408325914210861,1.05424227167764,-1.3477905206784,-0.914939432842527,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,1
1,0.918017814176768,-0.765594182467357,-1.21133686589545,-0.714620600264712,-0.499945781312662,-0.70279027253581,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,0,0,1
0,0.0241348402948129,1.04646305414177,-1.21133686589545,-0.714620600264712,-1.06517560755648,-0.770458539185366,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,1
1,0.918017814176768,-0.765594182467357,-0.220910172109449,-0.714620600264712,0.913128784296897,-0.100634142958338,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1
1,0.918017814176768,-1.67162280077192,-0.941220494862901,-0.714620600264712,-0.21733086819075,0.209359673179495,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1
1,0.918017814176768,1.04646305414177,2.21013716718345,1.05424227167764,0.347898958053073,-0.465951339262362,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,-0.869748133587142,-1.67162280077192,-1.21133686589545,-0.714620600264712,0.913128784296897,0.357041092961973,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
1,0.918017814176768,-0.765594182467357,-0.0408325914210861,1.05424227167764,0.347898958053073,-0.167845191589992,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,1
1,-0.869748133587142,-0.765594182467357,-0.761142914174538,1.05424227167764,0.630513871174985,2.20894552222344,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
1,-0.869748133587142,-0.765594182467357,-1.30137565623963,-0.714620600264712,0.347898958053073,1.60798958994296,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1
1,0.918017814176768,1.04646305414177,-0.130871381765268,-0.714620600264712,2.04358843678454,1.58924365120896,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,-0.869748133587142,-0.765594182467357,-1.03125928520708,-0.714620600264712,0.0652840449311617,0.325493049726706,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0
1,0.0241348402948129,0.140434435837207,1.03963289270909,2.82310514362,0.347898958053073,0.938165193715933,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,-0.869748133587142,-0.765594182467357,-0.851181704518719,-0.714620600264712,0.347898958053073,-0.51487366717792,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
0,0.0241348402948129,1.04646305414177,-0.761142914174538,-0.714620600264712,0.347898958053073,0.229020047949298,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,0.918017814176768,-0.765594182467357,-1.30137565623963,-0.714620600264712,-0.21733086819075,-0.880190863481944,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1
1,0.0241348402948129,-1.67162280077192,-0.491026543141994,1.05424227167764,-1.06517560755648,-0.835383497727508,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1
1,0.0241348402948129,0.140434435837207,0.589438940988184,1.05424227167764,-0.782560694434573,-1.20801618231797,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1
0,-1.7636311074691,-0.765594182467357,-1.12129807555126,-0.714620600264712,-1.3477905206784,2.20894552222344,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1
1,0.918017814176768,1.04646305414177,-0.0408325914210861,1.05424227167764,-0.782560694434573,-0.948773566167305,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1
0,0.918017814176768,-0.765594182467357,-0.310948962453631,-0.714620600264712,0.347898958053073,-0.808864852689168,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1
1,-0.869748133587142,1.04646305414177,-1.03125928520708,1.05424227167764,0.347898958053073,1.23078472517347,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,0.918017814176768,-0.765594182467357,-0.671104123830356,-0.714620600264712,-0.499945781312662,0.133461482207695,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1,1
1,0.0241348402948129,1.04646305414177,-0.220910172109449,1.05424227167764,-0.21733086819075,1.38029501702756,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1
1,0.918017814176768,0.140434435837207,-0.0408325914210861,-0.714620600264712,-1.06517560755648,-0.517616975285334,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1
1,0.918017814176768,1.04646305414177,-0.0408325914210861,1.05424227167764,-0.87676566547521,-0.758113652702001,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1
1,0.918017814176768,0.140434435837207,-0.491026543141994,1.05424227167764,0.0652840449311617,-0.662555086960398,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1
0,0.918017814176768,1.04646305414177,-0.400987752797812,1.05424227167764,0.347898958053073,-0.510301486998896,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1
1,-0.869748133587142,-1.67162280077192,-0.761142914174538,-0.714620600264712,-0.782560694434573,-0.0553695591859996,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,0,1
0,-0.869748133587142,1.04646305414177,-0.671104123830356,1.05424227167764,-0.499945781312662,-0.19207774653882,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1
0,0.0241348402948129,1.04646305414177,-0.941220494862901,-0.714620600264712,0.347898958053073,-0.775487937382292,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,1
